Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.8038666037952198,0.11437908496732026,0.825455574428334,0.6895424836601307,0.6529624704491725,0.6518018599845002,0.627222883726082
2,1.7702709116966895,0.20261437908496732,0.9090496426314311,0.6830065359477124,0.7171463605249683,0.6297658048955955,0.6403602269361998
3,1.8272987440520643,0.2581699346405229,0.8041427766575533,0.6895424836601307,0.6409264473412547,0.6125657315866148,0.5913676144334513
4,1.8148525446848152,0.16993464052287582,0.7789206676233827,0.7254901960784313,0.7076356116628882,0.7113697810991568,0.6882107707742007
5,1.7909438236086976,0.2581699346405229,0.8049571031059315,0.7091503267973857,0.7489786859341184,0.7044330661376526,0.6851107879946401
