Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.8226579551572923,0.09415584415584416,0.3723245661965777,0.8733766233766234,0.8723979920758462,0.8597201098904254,0.8601001474717735
2,1.7824578858041145,0.17045454545454544,0.34727971612754754,0.887987012987013,0.8987168122349574,0.8706151903302032,0.8827029596512812
3,1.8166721737481715,0.2032520325203252,0.3337993016610361,0.8845528455284553,0.875744491136282,0.8952267381426128,0.8835497338269178
4,1.7792866635128735,0.25691056910569104,0.3146058593710082,0.8894308943089431,0.8919802650949001,0.8810694053398916,0.8848395015318816
5,1.8388069218736354,0.0943089430894309,0.35394334362931473,0.865040650406504,0.8621010969336226,0.8535267411967574,0.8546049278811454
