Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1-score
1,0.2885673963557831,0.8659356328082564,0.9154392747777822,0.9002358235513158,0.8989858225037897
2,0.2188154595099642,0.8994432373709941,0.9266233390893246,0.9104963576650686,0.909526403545402
3,0.22403861868113087,0.8870518739815317,0.9115570301871129,0.8918923477580322,0.889759043074495
4,0.2133136064270446,0.8973384030418251,0.9332661399332701,0.9255171059696357,0.9254811140121695
5,0.17817234169342752,0.9217137425312331,0.9270937094029856,0.9249955179084351,0.9251407313831963
6,0.15611908197861477,0.9350556762629006,0.9451112345078441,0.942368064217034,0.9425882705811929
7,0.1352491822219116,0.9447650733297122,0.9504749176454584,0.949317345348859,0.9495024593672137
8,0.12672628802649363,0.9487031504617056,0.9479228300348056,0.9426465396493919,0.9428726387360206
9,0.12799083350185672,0.9486013036393265,0.9528370865962137,0.943409176663461,0.9435791220980321
10,0.13194843948675658,0.9428639326453014,0.9245965757835957,0.9240124976990255,0.9241167896011874
11,0.11104686751495849,0.9541689299293862,0.9490496506660754,0.9440974826787507,0.9443373110386271
12,0.10065865725683408,0.959023628462792,0.9546877978048522,0.9507199203712985,0.9509993032465072
13,0.09228868576449475,0.9609587180879956,0.9511438462877122,0.9503834686930785,0.9505296700476433
14,0.10610055853732796,0.9546102661596958,0.948071306986663,0.9469896206474464,0.9471593560990519
15,0.09057657676506099,0.9627919608908202,0.9694830684688989,0.9667736907392005,0.9670850481656262
16,0.08209070194601,0.96835958718088,0.9747062009656169,0.9729251221802502,0.9731936578783921
17,0.073684733457634,0.9693101575230852,0.9727160166989105,0.9719934135582293,0.9721538719705215
18,0.07746770841684746,0.9690046170559479,0.9654163317185649,0.9634780147077558,0.9637358626529204
19,0.08238122781595413,0.9706681151548072,0.972249032012906,0.9712942237061872,0.9714828138700111
20,0.07658494310542067,0.9696835958718087,0.9708204259201506,0.9670663992529241,0.9674250610554598
21,0.05987258204953534,0.9737235198261814,0.9723500502287112,0.9703616693153246,0.970639989248978
22,0.0655457074445444,0.973384030418251,0.9764827494124294,0.9753769577228865,0.975586972335896
23,0.05842561275032981,0.9751493753394894,0.9839758728480312,0.9839696308477086,0.9839726933298834
24,0.06088293685653721,0.9752512221618685,0.9757536965909308,0.9755511522735368,0.9756198131359358
25,0.05816251903453969,0.9757265073329712,0.9828872549106831,0.9827797887422154,0.9828220728230352
26,0.04998551621005352,0.9788837588267246,0.9860500750144419,0.9857487611854621,0.9858428736776755
27,0.04875229440852508,0.9801059206952744,0.982425666893756,0.9824870802284917,0.9824459041372384
28,0.04692326661648711,0.9795287887017925,0.982831978959952,0.9824637370084589,0.9825712449614379
29,0.04749279670026355,0.9802417164584465,0.9718627512833447,0.9718946615882647,0.9718765138254327
30,0.04552750221046618,0.9804793590439979,0.9784811479973077,0.977276641534863,0.9774996477027585
31,0.048462478553576056,0.979155350353069,0.9807295809553405,0.9808064698783922,0.9807438501972834
32,0.03968951109592933,0.9819391634980988,0.985308461096466,0.9843373421423203,0.9845409706286021
33,0.04221148689259648,0.9822107550244432,0.967134765011567,0.9660570683830884,0.9662527436615169
34,0.0448282390230874,0.981328082563824,0.9854480508890767,0.9851151160021745,0.9852160187974573
35,0.04117883282112522,0.9824823465507876,0.9820003063352536,0.9814650855278343,0.9816002798732173
36,0.04420666499469175,0.98061515480717,0.974607309563133,0.9746457543119422,0.9746232182749575
37,0.042237635941681013,0.9826181423139598,0.9839342025337794,0.9834031300445278,0.983541350321738
38,0.04068219556213842,0.982719989136339,0.9781546634374959,0.9768450432784266,0.9770783345430187
39,0.04083915916164932,0.982686040195546,0.9799086037870772,0.9799693520436346,0.9798424765756595
40,0.039689864509230885,0.9832971211298207,0.9785797721864227,0.9784137463283483,0.9784731312895254
