experiment_id,config_name,repeat,batch_size,learning_rate,max_seq_len,stride,hidden_dim,num_layers,dropout,post_train_acc,precision,recall,f1_score
A_rep1_bs8_lr0.001_seq30_stride1_hd64_nl3_do0.2,A,1,8,0.001,30,1,64,3,0.2,0.984545762239501,0.9846254045019137,0.9840430481102656,0.9841634440067674
A_rep2_bs8_lr0.001_seq30_stride1_hd64_nl3_do0.2,A,2,8,0.001,30,1,64,3,0.2,0.9802938108662136,0.980157430050293,0.979796124047048,0.9798113376628361
A_rep3_bs8_lr0.001_seq30_stride1_hd64_nl3_do0.2,A,3,8,0.001,30,1,64,3,0.2,0.9867392228478427,0.9865219160777151,0.9863642717413329,0.9864177585949776
B_rep1_bs8_lr0.0005_seq30_stride1_hd64_nl3_do0.3,B,1,8,0.0005,30,1,64,3,0.3,0.9914631445975518,0.991434397657096,0.991177359938207,0.9912548022040786
B_rep2_bs8_lr0.0005_seq30_stride1_hd64_nl3_do0.3,B,2,8,0.0005,30,1,64,3,0.3,0.9867388243876748,0.9865039593908602,0.9863827204273811,0.9864186790140721
B_rep3_bs8_lr0.0005_seq30_stride1_hd64_nl3_do0.3,B,3,8,0.0005,30,1,64,3,0.3,0.9860979752075807,0.9860623058436794,0.9856434877127598,0.9857553781766726
C_rep1_bs8_lr0.0005_seq45_stride1_hd64_nl3_do0.3,C,1,8,0.0005,45,1,64,3,0.3,0.9893739146428274,0.9891465600539793,0.9891758710030997,0.9891209699873571
C_rep2_bs8_lr0.0005_seq45_stride1_hd64_nl3_do0.3,C,2,8,0.0005,45,1,64,3,0.3,0.987336839896269,0.9873557343200291,0.9869253126365705,0.9870206459716109
C_rep3_bs8_lr0.0005_seq45_stride1_hd64_nl3_do0.3,C,3,8,0.0005,45,1,64,3,0.3,0.9902565364013339,0.99028902571459,0.9899127547045413,0.9900148220655032
D_rep1_bs16_lr0.002_seq30_stride1_hd64_nl3_do0.3,D,1,16,0.002,30,1,64,3,0.3,0.9814753761862445,0.9813222346950354,0.9809198713586387,0.9810233244875393
D_rep2_bs16_lr0.002_seq30_stride1_hd64_nl3_do0.3,D,2,16,0.002,30,1,64,3,0.3,0.9868403178846912,0.986611491099359,0.9864881527566933,0.9865219318748604
D_rep3_bs16_lr0.002_seq30_stride1_hd64_nl3_do0.3,D,3,16,0.002,30,1,64,3,0.3,0.9794851814940525,0.9795626525829821,0.9789759988149734,0.9789637435155489
E_rep1_bs8_lr0.001_seq45_stride1_hd64_nl2_do0.5,E,1,8,0.001,45,1,64,2,0.5,0.9794954976944246,0.980397473956993,0.9788687418316597,0.9789280469407169
E_rep2_bs8_lr0.001_seq45_stride1_hd64_nl2_do0.5,E,2,8,0.001,45,1,64,2,0.5,0.9850960588274681,0.9851366453963528,0.9846165744523848,0.984712942613357
E_rep3_bs8_lr0.001_seq45_stride1_hd64_nl2_do0.5,E,3,8,0.001,45,1,64,2,0.5,0.9799360249326904,0.9799060346174715,0.9793064136970051,0.9794282980221561
