kernel,C,seq_len,final_acc,precision,recall,f1_score,training_time_s
rbf,1.0,10,0.9021373415000473,0.9143338971058295,0.89851184657207,0.8970507920754583,0.44
rbf,1.0,20,0.9002760880788309,0.902618434146475,0.8971929351124123,0.8960546067571826,0.14
rbf,1.0,30,0.9045226130653266,0.9042671749474811,0.901943605029079,0.9020424520227218,0.08
rbf,1.0,40,0.9125158715762742,0.9124981833063059,0.9100364409353173,0.9101553747780088,0.08
rbf,10.0,10,0.9308613575580258,0.9335549704360168,0.9285989750239465,0.9286774622573685,0.63
rbf,10.0,20,0.936432403313057,0.9375918085513266,0.9345162240423291,0.9344366223165655,0.23
rbf,10.0,30,0.9195979899497487,0.9181576198584045,0.9176678609537314,0.9176968890056949,0.07
rbf,10.0,40,0.9259749682568476,0.9255607005607006,0.9240443987634999,0.9241888691365379,0.05
linear,1.0,10,0.8774216782709198,0.8770608030372757,0.8738801854517583,0.8733982988173488,0.4
linear,1.0,20,0.874164440753294,0.8716334065734931,0.8709226887727519,0.8702590646512933,0.14
linear,1.0,30,0.8964824120603015,0.8936738655002733,0.8939872613622889,0.8936989806112698,0.06
linear,1.0,40,0.9044349718846364,0.9021663225649745,0.9021940479805649,0.9021250620390366,0.05
linear,10.0,10,0.8774255866801415,0.8772662571171711,0.873854947561272,0.8733948638048288,0.82
linear,10.0,20,0.8761688850979775,0.8738270625069546,0.8729388178050099,0.8724234736640725,0.22
linear,10.0,30,0.9055276381909548,0.9029741304236463,0.9033676079480968,0.9030721300065336,0.12
linear,10.0,40,0.9057681842916742,0.9035453993319162,0.9035453993319162,0.9034468735283188,0.09
