Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.8106670472529027,0.16071428571428573,0.5149218444893886,0.7954545454545454,0.8352504869753914,0.7697244161604493,0.7811438666188848
2,1.7816155096153161,0.1590909090909091,0.49092721392388466,0.8084415584415584,0.8285276396978104,0.7972096239738838,0.8080287934624751
3,1.802054509302465,0.15934959349593497,0.6704495800219901,0.7382113821138211,0.7785592919848274,0.7199550202192421,0.7081494717588005
4,1.8207972753338697,0.11707317073170732,0.5053409221453395,0.8032520325203252,0.8118624751491236,0.8083586898210483,0.7970336054512375
5,1.808651470750328,0.11544715447154472,0.4319965748282952,0.8471544715447155,0.8470524078016611,0.8310913389306119,0.8351917191590271
