batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
8,0.1,10,0.7575250836120402,0.4044358100380786,0.7422880696599664,0.7494964332568792,0.7360762229914792,553.46
8,0.1,20,0.761744966442953,0.3409838277202772,0.6844241795455421,0.6692497146633026,0.6598497528166504,334.39
8,0.1,30,0.7587939698492462,0.36798728404721087,0.7148015167482175,0.658520441611266,0.6765523968443269,297.4
8,0.1,40,0.7635135135135135,0.3371581845492836,0.7109370098500534,0.7046814532769589,0.7027803657251972,220.86
8,0.01,10,0.8712374581939799,0.251338765578784,0.9156061290371994,0.9126757356004921,0.9127917416869601,409.35
8,0.01,20,0.912751677852349,0.17943421705085283,0.9171197721166074,0.9056849582507358,0.905030795811169,234.28
8,0.01,30,0.8492462311557789,0.2686035168626701,0.8693189107704151,0.8459715909308243,0.8394591490779505,174.23
8,0.01,40,0.8445945945945946,0.39427342472245563,0.8521147240089203,0.8072198603097479,0.7997487783233455,147.62
8,0.001,10,0.931438127090301,0.16753329390470706,0.9431334332589852,0.93598107553315,0.93610011623144,414.65
8,0.001,20,0.9328859060402684,0.20145341732874028,0.9001804275299925,0.8905057968402715,0.8880982038507491,232.58
8,0.001,30,0.8994974874371859,0.25878045114105913,0.9085576923076923,0.9036344078735622,0.9034177112403681,177.81
8,0.001,40,0.8918918918918919,0.21179372843707334,0.8936688311688311,0.8830321894928637,0.8817772952853599,154.02
8,0.0001,10,0.919732441471572,0.18496939476855373,0.9327972986992277,0.929395855589608,0.9295445914123099,413.44
8,0.0001,20,0.9161073825503355,0.18465895194836873,0.9172534389521031,0.9100931573746818,0.9098740235259468,235.51
8,0.0001,30,0.8844221105527639,0.2448201718595085,0.9114647239263804,0.8926659664933173,0.8905247411723025,174.95
8,0.0001,40,0.8513513513513513,0.25974509982404775,0.8974776912757135,0.8756377163680535,0.8723623224738264,148.18
16,0.1,10,0.7591973244147158,0.3388174830459649,0.7487835154941611,0.7487458046151338,0.7457478645894926,331.42
16,0.1,20,0.7684563758389261,0.35531805510688946,0.7732371341432078,0.7673352004344719,0.7576358010085669,208.46
16,0.1,30,0.5025125628140703,0.9689741958840633,0.7671587537091988,0.7485178010910958,0.7500626145886807,168.41
16,0.1,40,0.7837837837837838,0.3187648594175698,0.7837473479490806,0.7522244154266626,0.6976207202556933,174.19
16,0.01,10,0.9046822742474916,0.25126959980150293,0.8892896936557638,0.887475445620052,0.886570165172349,217.2
16,0.01,20,0.9093959731543624,0.19523787251677546,0.9070506731037766,0.8647091067459602,0.8569596830400674,128.69
16,0.01,30,0.8844221105527639,0.22760851618154654,0.8978963405701561,0.8591498976549093,0.8513334440473013,104.58
16,0.01,40,0.8581081081081081,0.301903842388325,0.8307695993866206,0.8267764955967203,0.8252562907735321,87.53
16,0.001,10,0.8929765886287625,0.25567033843390014,0.9213312388700521,0.9166647244023467,0.9165697504061279,217.72
16,0.001,20,0.9362416107382551,0.15656359131360464,0.918052679410967,0.9071158942041404,0.9065502133616758,128.53
16,0.001,30,0.8743718592964824,0.24808664086342663,0.921850879901204,0.900864770552064,0.898871974592049,101.06
16,0.001,40,0.8986486486486487,0.21965143716472477,0.9106901854533247,0.8882573368528425,0.8856555566908352,87.26
16,0.0001,10,0.919732441471572,0.18764284922119173,0.9113499372289797,0.9015105344824362,0.900839464557475,219.73
16,0.0001,20,0.9228187919463087,0.17788332641662266,0.9070174557153499,0.8909938727698685,0.8892939258913264,129.87
16,0.0001,30,0.8592964824120602,0.2636839913288553,0.8998024355486463,0.8802491826605459,0.8773352667359406,103.22
16,0.0001,40,0.8513513513513513,0.2762044946084151,0.9083568458568458,0.8795323413300942,0.8753354418248035,90.36
32,0.1,10,0.5100334448160535,1.0016591257873342,0.847757870089876,0.8069960016325064,0.79497718610042,200.17
32,0.1,20,0.5100671140939598,0.6966381709047612,0.7104340498837809,0.6695575779419716,0.6546765238269779,128.43
32,0.1,30,0.8391959798994975,0.3415355112645822,0.7613654084647454,0.7621357481059693,0.7612431853051225,125.57
32,0.1,40,0.7635135135135135,0.36061285337986976,0.7999310576566555,0.7962496204069238,0.7914094848806956,114.63
32,0.01,10,0.8879598662207357,0.23019867735551405,0.9246696527733834,0.9219249726373357,0.9220438158371006,144.8
32,0.01,20,0.7818791946308725,0.33224622464673154,0.8689015200136891,0.8699545438106763,0.8693938894286456,102.81
32,0.01,30,0.8743718592964824,0.26038465165678204,0.9101285118863847,0.8905739162841123,0.888226919285949,83.21
32,0.01,40,0.8716216216216216,0.24843028900087685,0.78203869023006,0.7697359200168189,0.7729277949680436,73.27
32,0.001,10,0.8996655518394648,0.2095170769611055,0.9253023885816369,0.9222353052166482,0.922348144821918,185.07
32,0.001,20,0.9228187919463087,0.18171994628356583,0.9147235273158161,0.8992686369916502,0.8979737401660566,112.66
32,0.001,30,0.8894472361809045,0.2487228577160955,0.9139245020929927,0.8979299713719444,0.896368953332521,79.78
32,0.001,40,0.8783783783783784,0.25459524132059635,0.9019530664267508,0.8798511995141208,0.8768680295176239,71.97
32,0.0001,10,0.903010033444816,0.20098035717009252,0.9145641436332947,0.897793810385742,0.8963424105011905,140.57
32,0.0001,20,0.8825503355704698,0.23716555643301682,0.8965709058544304,0.8835488376284015,0.8819507011342897,99.41
32,0.0001,30,0.8542713567839196,0.2777440160812445,0.9044766104294478,0.8864914539325461,0.8841475416289415,82.16
32,0.0001,40,0.8581081081081081,0.2733983055159852,0.901062377750657,0.8813249939654435,0.8786437894910272,72.79
