Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3867407009186532,0.23970985155195682,0.029372598348512118,0.9871794871794872,0.9871470633635989,0.9867515118262384,0.9868651973562343
2,1.38541255631615,0.362240593892357,0.026459573382312945,0.9903829930825038,0.9901698739375419,0.9901354738601098,0.9901512099481643
3,1.3906576275644484,0.24886114391766492,0.04268195264436144,0.9824531803610596,0.9821972434441463,0.9819396037240391,0.982023220067121
4,1.385529657972589,0.2397502952589843,0.0024190505021536276,0.999156402901974,0.9991279158524671,0.9991461014563627,0.9991364725260504
5,1.3902667723237834,0.24919858275687531,0.05133383024545161,0.975029525898431,0.9744153588990409,0.9744680729167164,0.9744335594767324
