Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3867407065493214,0.23970985155195682,0.013393434598997797,0.9949392712550608,0.9948186404895096,0.9948186404895096,0.9948186404895096
2,1.385412558086087,0.362240593892357,0.027291414050034404,0.9838029357179011,0.9833956938991177,0.98345965624254,0.9834163629038264
3,1.3906576314261294,0.24886114391766492,0.02924242882838418,0.9873460435296103,0.987169602419069,0.9869664597756027,0.9870372221129677
4,1.38552966135156,0.2397502952589843,0.060637009469243844,0.9816095832630336,0.9812805576776165,0.9811067641551068,0.9811683088954779
5,1.3902667748982376,0.24919858275687531,0.02657915450798377,0.9859962881727686,0.9858553024689882,0.9855620814741468,0.985652860668579
