Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3888846101569492,0.2508361204013378,0.2270093112148307,0.9096989966555183,0.9170692431561998,0.905868544600939,0.9055808383233532
2,1.3884694600185024,0.2508361204013378,0.21624555448179186,0.9063545150501672,0.9239267676767677,0.9030555555555556,0.9014367816091954
3,1.3872847074649006,0.2408026755852843,0.2224152373456798,0.903010033444816,0.9118989653073646,0.8997747747747747,0.8985868263473054
4,1.3925820684751937,0.24749163879598662,0.2867817557261117,0.8327759197324415,0.8536616161616162,0.8270457957957957,0.8163244766505636
5,1.3885504471375638,0.2516778523489933,0.23536972393166125,0.9093959731543624,0.9094928099494753,0.9062143129044538,0.9062544897275036
