experiment_id,batch_size,learning_rate,max_seq_len,pre_train_loss,pre_train_acc,post_train_loss,post_train_acc,precision,recall,f1_score
bs_8_lr_0.01_seq_10,8,0.01,10,1.7911926392018191,0.21663462358676894,0.32910824430003,0.8862651329733134,0.8792387264965615,0.879553586223252,0.8779568135342558
bs_8_lr_0.01_seq_20,8,0.01,20,1.8079763200192176,0.16381638686516736,0.34439055739709684,0.8800776053215078,0.8801881314951217,0.8720316369799781,0.8731594540726
bs_8_lr_0.01_seq_30,8,0.01,30,1.8078798296495784,0.11966008706541835,0.5656507200804703,0.8192056771423462,0.8122474284542683,0.7886626035067479,0.7893557202067464
bs_8_lr_0.01_seq_40,8,0.01,40,1.8036717276168026,0.18562091503267975,0.5450330736955591,0.792156862745098,0.8132847579967721,0.7809536814622232,0.7854742003913483
bs_8_lr_0.001_seq_10,8,0.001,10,1.7912393578462145,0.18600738849992454,0.16374464139689487,0.9497723738344741,0.9459187154892337,0.9457706733202219,0.9455667894450281
bs_8_lr_0.001_seq_20,8,0.001,20,1.7998951213189407,0.20929521697814382,0.23926000432381245,0.9252465420758103,0.9216459476779914,0.9189655545873837,0.9193322099193615
bs_8_lr_0.001_seq_30,8,0.001,30,1.7956232666160303,0.1949048840121653,0.31057525871660896,0.9110871250521797,0.9028639894074878,0.9039499344837957,0.9015137262615829
bs_8_lr_0.001_seq_40,8,0.001,40,1.784317275901246,0.21830065359477127,0.3963935462989254,0.8601307189542485,0.8673375112840374,0.8537149664999475,0.851963493931857
bs_8_lr_0.1_seq_10,8,0.1,10,1.799053992096263,0.1770797708646382,1.5642342330585794,0.34444819191726983,0.10292941567114315,0.2520378633834443,0.14277696747755642
bs_8_lr_0.1_seq_20,8,0.1,20,1.7863770606593057,0.21679178545032202,1.5786910244063204,0.33241685144124167,0.12741448373419326,0.24329528268531284,0.14584019354857197
bs_8_lr_0.1_seq_30,8,0.1,30,1.793470485004687,0.17927962311407955,1.7575937357707516,0.2579378615302046,0.042989643588367425,0.16666666666666666,0.06834921781205253
bs_8_lr_0.1_seq_40,8,0.1,40,1.8129880778929768,0.1673202614379085,1.7083041878307565,0.27450980392156865,0.07567885026540042,0.1894846709610753,0.09470270633402104
bs_8_lr_0.0001_seq_10,8,0.0001,10,1.7921152859599452,0.19247842833614395,0.4072802231236386,0.8580662602772984,0.8595893300341542,0.8448794364854901,0.8503169754095978
bs_8_lr_0.0001_seq_20,8,0.0001,20,1.8047377143391032,0.15728434167458558,0.4876892472990506,0.8430287192482314,0.8511830452553255,0.831904722224501,0.8348461704547729
bs_8_lr_0.0001_seq_30,8,0.0001,30,1.8081848856417366,0.17538791818236033,0.664446453631237,0.7430091239787704,0.7345370860814556,0.7196724989944376,0.7077218585247358
bs_8_lr_0.0001_seq_40,8,0.0001,40,1.8075148864509234,0.16797385620915034,0.6985318518152424,0.7444444444444445,0.7612925329951026,0.7199936828677522,0.7153410821069518
bs_16_lr_0.01_seq_10,16,0.01,10,1.8047379352265467,0.1830893903503304,0.24928940083111714,0.9172089055702465,0.9136124813842674,0.9123912182670629,0.9126034489180551
bs_16_lr_0.01_seq_20,16,0.01,20,1.7958747993695194,0.19208056171470805,0.3520442655395832,0.8830054904445148,0.8834295695502015,0.8774497168776378,0.87848522578333
bs_16_lr_0.01_seq_30,16,0.01,30,1.7988572380451617,0.16314270379867613,0.42388560688352045,0.8490488401216532,0.8658821183311088,0.8329738223912984,0.8403141189191954
bs_16_lr_0.01_seq_40,16,0.01,40,1.8141191677330368,0.1522875816993464,0.5971926845561445,0.7679738562091504,0.8012844814656436,0.7525516002163453,0.755838975964704
bs_16_lr_0.001_seq_10,16,0.001,10,1.8069437240635153,0.16608534176733442,0.1767586150986549,0.9385914605738883,0.9370646168531375,0.9345538692707299,0.93492838504666
bs_16_lr_0.001_seq_20,16,0.001,20,1.8205786197916303,0.142352972231021,0.2541749349118622,0.9119121528877627,0.9097337133849516,0.9096400431187673,0.9084797749742173
bs_16_lr_0.001_seq_30,16,0.001,30,1.7955486978521442,0.1328630210507484,0.35999524528616883,0.8915427276522154,0.8927444581319403,0.8834482608473827,0.8860073151671977
bs_16_lr_0.001_seq_40,16,0.001,40,1.7926001068813349,0.20065359477124184,0.46613055219983357,0.8274509803921569,0.8365785248647569,0.8186968188878087,0.8191731135109366
bs_16_lr_0.1_seq_10,16,0.1,10,1.8055717282955452,0.1748302810385895,1.6184683308203294,0.3170964376406669,0.11238616254016306,0.24326583112894795,0.14358154369723936
bs_16_lr_0.1_seq_20,16,0.1,20,1.802169987058554,0.1673762010347376,1.568463289615358,0.34251293422025125,0.10181361675719196,0.24241864779242378,0.13845186199006526
bs_16_lr_0.1_seq_30,16,0.1,30,1.80061086355833,0.1670594549466277,1.7095813615130602,0.2848231856401694,0.07975915956115945,0.19129239329284792,0.10158359442133058
bs_16_lr_0.1_seq_40,16,0.1,40,1.7960167934691984,0.1895424836601307,1.6140424190783034,0.3111111111111111,0.08118549270599089,0.22616033755274262,0.11650067860624358
bs_16_lr_0.0001_seq_10,16,0.0001,10,1.7979473799519456,0.19022355789736153,0.4049986378013838,0.8582280723626795,0.8551733537571732,0.8460365754017541,0.8482478517350142
bs_16_lr_0.0001_seq_20,16,0.0001,20,1.789201381652336,0.19105163129553376,0.5620933783830326,0.7933085207475452,0.8198022044086294,0.7755349521079242,0.7791470308729259
bs_16_lr_0.0001_seq_30,16,0.0001,30,1.790354495701974,0.21786749358936133,0.6955437544147289,0.7230401335798199,0.7127703076263343,0.6862675553822506,0.6699316396882105
bs_16_lr_0.0001_seq_40,16,0.0001,40,1.7892825006659514,0.17843137254901964,0.7196127985817155,0.7287581699346406,0.7150790211280463,0.7133125299077824,0.6969445692816485
bs_32_lr_0.01_seq_10,32,0.01,10,1.8065907907779764,0.19620312469241924,0.2118790989369767,0.9329175388289951,0.9299734031089064,0.9272237593225124,0.9277416122750566
bs_32_lr_0.01_seq_20,32,0.01,20,1.8120206079643135,0.18361841410621899,0.31555470383597733,0.8865763910885862,0.8878632650502988,0.8780643212529673,0.8810195454095933
bs_32_lr_0.01_seq_30,32,0.01,30,1.8092857535866862,0.18369610590971436,0.5690263294673888,0.7987023674637724,0.83286388187583,0.7883434704551936,0.7894884687706797
bs_32_lr_0.01_seq_40,32,0.01,40,1.7958469817840979,0.19411764705882356,0.6249118452757791,0.765359477124183,0.8130205540383724,0.7303529459773086,0.7410444827827581
bs_32_lr_0.001_seq_10,32,0.001,10,1.8017974496061249,0.14241169561480063,0.18037774350347519,0.940050000328086,0.9386958296408883,0.9349092572386188,0.93565372071253
bs_32_lr_0.001_seq_20,32,0.001,20,1.7835202227997158,0.21186463942561504,0.2721700959535369,0.9145211698870236,0.9144397051106857,0.9071757011645598,0.9099266596178801
bs_32_lr_0.001_seq_30,32,0.001,30,1.8160286995910901,0.12850497942632239,0.3861849471227706,0.8719971375752877,0.8823804144360828,0.8737796811613014,0.8751830623350955
bs_32_lr_0.001_seq_40,32,0.001,40,1.804666079882703,0.15228758169934642,0.4206190811652763,0.8562091503267976,0.8732491158009484,0.8439637320244062,0.8464708026737972
bs_32_lr_0.1_seq_10,32,0.1,10,1.7992486591326409,0.19233433290244686,1.1317411188072444,0.48833496282784006,0.42202708187133153,0.4206623622766342,0.3386214865634297
bs_32_lr_0.1_seq_20,32,0.1,20,1.7997881275290184,0.16577130186886285,1.455736335757516,0.38155685777637,0.22168240744787554,0.2958961160733313,0.2053055790816944
bs_32_lr_0.1_seq_30,32,0.1,30,1.811443351117121,0.17488937921164052,1.647543053682464,0.29999165126125593,0.10600277246842263,0.21191924942360146,0.11789266060183465
bs_32_lr_0.1_seq_40,32,0.1,40,1.8112042434854445,0.1411764705882353,1.5186767596824495,0.3666666666666667,0.20157729599699703,0.2717026076064751,0.1929955427765623
bs_32_lr_0.0001_seq_10,32,0.0001,10,1.8114508896226833,0.14841777177015597,0.4822252972646073,0.8245223393854288,0.8286806961808695,0.8098711959337652,0.8140880206251095
bs_32_lr_0.0001_seq_20,32,0.0001,20,1.7965699416024545,0.14592704043923554,0.6223849225005231,0.7621069580825678,0.7671288101800895,0.7420056579984335,0.7341996376143882
bs_32_lr_0.0001_seq_30,32,0.0001,30,1.8129550244450052,0.15732840360188444,0.7619280854499335,0.7030389409028565,0.67860768958882,0.6814252951246585,0.6549652315007137
bs_32_lr_0.0001_seq_40,32,0.0001,40,1.8014465255674974,0.20065359477124184,0.8245051528893266,0.6993464052287581,0.6935299151824804,0.661987248740704,0.6464544567729147
