config_name,mean,std,max,min,count
B,0.9895339664630886,0.00157085849155363,0.9913072983586757,0.9883170477461072,3
C,0.9892877441600098,0.001468985190257904,0.9908218343098205,0.9878939271581746,3
A,0.9887188126748238,0.0015370655478303629,0.9900148220655032,0.9870206459716109,3
D,0.9862474601273895,0.00360556789382541,0.9904013252995145,0.9839272726629795,3
