Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.7876360493820984,0.11525974025974026,0.2484427543045944,0.913961038961039,0.9073055271528553,0.9233363873324653,0.9133791591808277
2,1.7838078597923377,0.17045454545454544,0.24959440743363562,0.9188311688311688,0.9142487628854358,0.9219715433249865,0.9168485672908481
3,1.772040733089292,0.25853658536585367,0.26165924365102217,0.9219512195121952,0.9269592125970649,0.9118710326048957,0.9187366013608287
4,1.7736189177365806,0.2032520325203252,0.22700404239651875,0.9317073170731708,0.9282684694610883,0.9203983316138546,0.9240529338085636
5,1.8238368185555063,0.16097560975609757,0.4454926642610093,0.8552845528455284,0.862196047064319,0.8612564350225805,0.8578543109420741
