Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3899786916338963,0.2491565452091768,0.042734447409166806,0.9831309041835358,0.9829518443293614,0.9826193060508832,0.9827188500110752
2,1.3860670019608032,0.26235869748608065,0.014464111165568944,0.9932512232157922,0.9931429873295837,0.9930496538553355,0.9930878348758962
3,1.3944134959004792,0.2395815758393791,0.05140978885236176,0.9767167200944828,0.9762273785161109,0.9761046789209835,0.9761514587420415
4,1.385425776922021,0.24886114391766492,0.023104608152113137,0.9910578707609246,0.9909928366762178,0.9907657534083183,0.9908426331128831
5,1.3902621656600955,0.24869242449805973,0.0278945462920179,0.9895393959844778,0.9892945335373016,0.9892819664711437,0.9892880162329912
