Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3869248584914353,0.2623896809232858,0.031113111037358306,0.9904955872369314,0.9908015768725361,0.990084985835694,0.9902567882319258
2,1.3860675075871292,0.24885418434900697,0.01940341266192607,0.9904939738584281,0.9906245609615487,0.9901178423669802,0.9902561020924778
3,1.3873939025060082,0.2624342216941097,0.02329721939581783,0.9891359701239179,0.9888629739018625,0.9888865307953586,0.9888738064576009
4,1.3873635988206334,0.24902393481582075,0.03991825311013598,0.9869292140553386,0.9866009997116495,0.9866472913904981,0.9866193833272612
5,1.3890663068295739,0.24919368528263453,0.010227138057541186,0.996095739263283,0.996074720927083,0.9959533834804553,0.9960005463883068
