Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.8125627288570652,0.16883116883116883,0.32697765713001226,0.8944805194805194,0.8834079778209231,0.8858004778070252,0.8843401994379433
2,1.8152389263177846,0.20454545454545456,0.2900526924179746,0.8831168831168831,0.8977765728221732,0.8754038689136866,0.8848370295534916
3,1.7983736007194209,0.25853658536585367,0.451826786534573,0.8341463414634146,0.8494415001980046,0.8184035420294463,0.829764267434494
4,1.8370979437013952,0.11707317073170732,0.26669305446671276,0.8991869918699187,0.8911655074488948,0.8939368505257912,0.8920468010614816
5,1.796829840225902,0.16910569105691056,0.24222332863061408,0.9219512195121952,0.9175247669614982,0.9167768669888877,0.9141094295605554
