Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3928945591701336,0.23618090452261306,1.0214985677944355,0.48743718592964824,0.24404761904761904,0.5,0.3279569892473118
2,1.392864032007342,0.24120603015075376,0.34199649544547783,0.7587939698492462,0.6275510204081632,0.75,0.6689189189189189
3,1.4020785231087076,0.24623115577889448,0.2658516122913161,0.8793969849246231,0.9178082191780822,0.875,0.8674863387978141
4,1.3877801817266187,0.24120603015075376,0.33812804887043174,0.7587939698492462,0.6262886597938144,0.75,0.6678082191780822
5,1.3903947044257543,0.2613065326633166,0.34284131909560384,0.7587939698492462,0.6262886597938144,0.75,0.6678082191780822
