Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.784858454727545,0.16097560975609757,0.34578834474768216,0.8804878048780488,0.8904403664770681,0.8740870847508516,0.8786644344482148
2,1.8063219878731704,0.25853658536585367,0.14672138637454227,0.9634146341463414,0.9544738299688373,0.9670524955382019,0.9599550793095494
3,1.8236682627778182,0.09290953545232274,0.35978956673348955,0.8948655256723717,0.8917005575844393,0.8908957348283085,0.8876771689490108
4,1.819596662498045,0.11735941320293398,0.30226503771076246,0.9095354523227384,0.9233004142245202,0.9055364384022265,0.9103904330876135
5,1.7985173799006455,0.16136919315403422,0.32938031264077555,0.8924205378973105,0.9002454585049637,0.8920077937559521,0.8946310410096675
