Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.8114336525521628,0.11463414634146342,1.767835111152835,0.25853658536585367,0.043089430894308944,0.16666666666666666,0.06847545219638243
2,1.7914834022521973,0.25853658536585367,1.776028716854933,0.25853658536585367,0.043089430894308944,0.16666666666666666,0.06847545219638243
3,1.7778850537349076,0.2591687041564792,1.7519648882462517,0.2591687041564792,0.04319478402607987,0.16666666666666666,0.0686084142394822
4,1.7815077948978302,0.1687041564792176,1.7464078504473772,0.2567237163814181,0.042787286063569685,0.16666666666666666,0.06809338521400778
5,1.8050425215863366,0.09535452322738386,1.7457321121523608,0.2567237163814181,0.042787286063569685,0.16666666666666666,0.06809338521400778
