Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.399367640964949,0.23618090452261306,1.3985803989908803,0.25125628140703515,0.06281407035175879,0.25,0.10040160642570281
2,1.3850956136856847,0.25125628140703515,1.3879542596376122,0.2613065326633166,0.06532663316582915,0.25,0.10358565737051793
3,1.3984777256472027,0.24120603015075376,0.7030070612778017,0.5125628140703518,0.25619062057812814,0.5,0.33877596111356606
4,1.404553844102064,0.25125628140703515,0.4180351165521085,0.7537688442211056,0.6237113402061856,0.75,0.6655172413793103
5,1.3931490272732836,0.25125628140703515,0.721086323261261,0.507537688442211,0.2537396401859713,0.5,0.33663938800925103
