Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3872127393416338,0.2608695652173913,0.33096924956489265,0.7792642140468228,0.8297709923664122,0.7794366197183099,0.734983498349835
2,1.3865017468315304,0.2608695652173913,0.3421636817768993,0.7591973244147158,0.6275510204081632,0.75,0.6689189189189189
3,1.4084708176328984,0.2408026755852843,0.23387493482455268,0.8929765886287625,0.9139817106710671,0.8891704204204205,0.8862019621588355
4,1.3891031144056034,0.24749163879598662,0.33918757482503153,0.7591973244147158,0.6267123287671232,0.75,0.6681818181818182
5,1.3935670028596916,0.26174496644295303,0.3372007040368454,0.761744966442953,0.6275862068965518,0.75,0.6689497716894977
