Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.39220298295045,0.23618090452261306,0.3379669120259134,0.7638190954773869,0.6288659793814433,0.75,0.6700680272108843
2,1.3889548257367694,0.25125628140703515,0.31863390796129876,0.8391959798994975,0.9024390243902439,0.8333333333333334,0.8143939393939394
3,1.3994831984965646,0.01507537688442211,0.34411413953569364,0.7587939698492462,0.6262886597938144,0.75,0.6678082191780822
4,1.4054370315829714,0.24120603015075376,0.2616089089216674,0.8793969849246231,0.8798245614035087,0.8758503401360543,0.8752144082332762
5,1.392767150198395,0.24623115577889448,0.33849439451742414,0.7587939698492462,0.6262886597938144,0.75,0.6678082191780822
