Trial_No,Model,Train_Time_Sec,Best_Fold,Best_F1,Best_Loss,Avg_F1,Avg_Loss,Params
25,LSTM,450.16,4,0.9434135887764523,0.19279193058523275,0.8933950710730354,0.47306133548416157,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.02191533597700606, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.5}"
26,LSTM,911.13,4,0.9370437234410588,0.2757050094231225,0.892586656456355,0.5671511245381837,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.04465941261883709, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.3}"
27,LSTM,633.87,4,0.9305298541670204,0.16160435958898056,0.8872687479962067,0.47482246265144157,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.02470805317745818, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.3}"
28,LSTM,709.29,4,0.9259798220730535,0.24304684435846866,0.8905206483466188,0.49780414515540805,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.04783322593612162, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
29,LSTM,689.36,2,0.9527580112797288,0.19217961145565451,0.8978529383007702,0.36431419499201556,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.04190575116806104, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0}"
30,LSTM,732.42,2,0.9535278001796653,0.3650909016821722,0.8990888109098176,0.4432774264231881,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.03073083275450063, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
31,LSTM,983.43,4,0.9374722381831444,0.2262103706060518,0.8812992550848098,0.41790858663258834,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.026557816127163594, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
32,LSTM,408.42,2,0.9414778654658229,0.22136464702606176,0.9152744935962385,0.2696661999928265,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.0809692948703528, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.5}"
33,LSTM,785.51,4,0.9559942327515624,0.18535359572324522,0.8975786688642288,0.37031931828400544,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.04081331730457111, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.3}"
34,LSTM,995.51,4,0.9455869269275707,0.15615593600580155,0.8869395925324808,0.34921785997014154,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.03663831907408726, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.3}"
35,LSTM,691.89,1,0.9230984781971132,0.2029749305795783,0.8876606083464404,0.39789506048257506,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.05633895764403027, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0}"
36,LSTM,509.23,1,0.9480834837724551,0.15530875151479118,0.8930020920538073,0.2528335907912484,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.016253715785746328, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0}"
37,LSTM,977.37,4,0.9269548720951544,0.21818572622698246,0.9007745453331047,0.3545704652362223,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.037677962796482535, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
38,LSTM,967.35,2,0.9348126665209673,0.2460059935472772,0.8940239170672125,0.28319671321258855,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.05618050324854665, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
39,LSTM,1089.03,4,0.9386974576452783,0.3180536325664399,0.9012801362715749,0.34877158559604304,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.03589221633156918, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
