Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.7931643465752545,0.11578947368421053,0.16035280576245486,0.9506072874493927,0.9455373054365777,0.946123269723287,0.945802702577922
2,1.8296607506902594,0.0931174089068826,0.3045963213216574,0.9036437246963562,0.8994328905357225,0.9071441528869965,0.9028035615052298
3,1.8126411948057202,0.0940032414910859,0.182302539110782,0.9432739059967585,0.9378968779880338,0.9391506737798214,0.9382595437457343
4,1.8061858004070759,0.1693679092382496,0.16053356697141488,0.9562398703403565,0.9535965796727668,0.9532312198222024,0.9533419485520542
5,1.7673198214612864,0.16045380875202594,0.12836213260909807,0.9432739059967585,0.9403414483936321,0.9375792372662111,0.9384986577415644
