Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.8212049533794452,0.11525974025974026,0.2704687330738774,0.9025974025974026,0.906891578999511,0.886878528647124,0.894139353428418
2,1.8005372518068785,0.1590909090909091,0.33929616541831525,0.8847402597402597,0.8982177720356015,0.8827165955966564,0.8881164675712175
3,1.787360010496,0.15934959349593497,0.27673439836598995,0.8991869918699187,0.9043221819561206,0.8952495188486109,0.8989904910536547
4,1.8190492329558705,0.11707317073170732,0.21192309830973788,0.9479674796747968,0.9489042077559214,0.9418785020467232,0.9449040755349788
5,1.8067064709779692,0.2032520325203252,0.3469691839765727,0.8829268292682927,0.8894165437616426,0.8785661844239193,0.8820764426810275
