batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
8,0.1,10,0.7491638795986622,0.3628226567470908,0.6164628089838964,0.5986735529778034,0.598429318196789,260.54
8,0.1,20,0.6610738255033557,0.5685675382784462,0.5632671077124922,0.5780974355862366,0.5508290811199276,136.6
8,0.1,30,0.25125628140703515,1.3979085084780976,0.6440188856361454,0.5783175403498635,0.5780208904390757,93.16
8,0.1,40,0.5675675675675675,0.7929014128602019,0.6964739265655067,0.6548218053836031,0.6424529188251513,73.21
8,0.01,10,0.9180602006688964,0.17852304924302712,0.9322171328541838,0.9279526221484685,0.9280726970677171,280.87
8,0.01,20,0.9664429530201343,0.13465173753594328,0.940390843091106,0.9371095392563225,0.9373007484929488,135.46
8,0.01,30,0.9095477386934674,0.14685149109038148,0.9214330445673728,0.9160213935835779,0.9160479087308355,93.57
8,0.01,40,0.9256756756756757,0.17163253358503916,0.9324098902469444,0.9276571515335561,0.9277777777777777,71.51
8,0.001,10,0.9230769230769231,0.18030121148858533,0.9437825967024291,0.9388675424154294,0.9390576221489388,259.22
8,0.001,20,0.9429530201342282,0.15671171604602377,0.9285388506509661,0.9278323421637533,0.927952265203341,135.5
8,0.001,30,0.9246231155778895,0.17129178441119428,0.933589888433837,0.9261726491962122,0.9260755740465407,93.0
8,0.001,40,0.918918918918919,0.19603802602986506,0.9346377306903623,0.9304661402976011,0.9306235092654883,70.71
8,0.0001,10,0.9080267558528428,0.1968225900318322,0.918452918704508,0.908017043048018,0.9074506484048521,257.83
8,0.0001,20,0.9161073825503355,0.20585416240654292,0.9105360065466448,0.8973050699825794,0.8961864569640784,135.76
8,0.0001,30,0.8592964824120602,0.2633692175428867,0.9085080170981651,0.8938475090203785,0.8922872340425532,93.02
8,0.0001,40,0.8581081081081081,0.2683733516538219,0.8926197683600948,0.8816276951108413,0.8802705408488742,71.49
16,0.1,10,0.7608695652173914,0.3386075877425663,0.7040172633942335,0.6983377387240295,0.6951882231321768,144.62
16,0.1,20,0.6375838926174496,0.6024793058433788,0.7875275505499489,0.7754192932354054,0.7724454799507803,78.41
16,0.1,30,0.5125628140703518,0.8115351745231667,0.7033031732075965,0.7066176617212627,0.6931020629468224,52.14
16,0.1,40,0.8040540540540541,0.34851110699300253,0.8210642888808843,0.8211310705692728,0.821074038167064,39.74
16,0.01,10,0.9280936454849499,0.1728346645929399,0.938062439094243,0.934174036025224,0.9343332890783351,143.95
16,0.01,20,0.959731543624161,0.1149900491605669,0.9372333556257639,0.9328933141106506,0.9330631027487517,77.23
16,0.01,30,0.9447236180904522,0.14465117053487347,0.942973163841808,0.934375534487818,0.934354240083215,52.05
16,0.01,40,0.9527027027027027,0.1807597069780452,0.9419934640522876,0.9373291831157,0.9375310719339172,40.21
16,0.001,10,0.9247491638795987,0.18331578818142324,0.9401129128093075,0.9361951477759161,0.9363633483043081,143.47
16,0.001,20,0.9463087248322147,0.12908812599060762,0.9267622975586174,0.9257110890851205,0.9258470590890964,75.23
16,0.001,30,0.9095477386934674,0.2031810608193458,0.925457859560802,0.9212135585181169,0.9212223587223587,51.49
16,0.001,40,0.9256756756756757,0.18870196721124827,0.9133502056311293,0.9068023079259034,0.906579139426438,39.51
16,0.0001,10,0.8996655518394648,0.2182028042341904,0.9061842727617441,0.8924116140973534,0.8910176657550251,142.86
16,0.0001,20,0.9161073825503355,0.20500206391111442,0.902138540213854,0.8876073767045114,0.8859594985535197,75.28
16,0.0001,30,0.864321608040201,0.27297359043919484,0.9009714734950584,0.8866269713550049,0.8848165945511078,51.51
16,0.0001,40,0.831081081081081,0.2957865202648414,0.8777349695585998,0.8723276647433952,0.8716407355021216,39.41
32,0.1,10,0.6103678929765887,0.6094255818172442,0.7694502498910667,0.6977711173346748,0.6828142974590105,82.69
32,0.1,20,0.6342281879194631,0.6750050759155478,0.8082500058223292,0.8060273622874993,0.8050172081602482,43.41
32,0.1,30,0.8542713567839196,0.2950985823481826,0.8385793109524827,0.7969924434145933,0.7865369995124487,29.06
32,0.1,40,0.8040540540540541,1.882507151848561,0.7840145898969428,0.783124265146737,0.7821958451389788,22.47
32,0.01,10,0.9230769230769231,0.15649852097171676,0.9365378397756379,0.9339223179851512,0.9341003804756213,83.15
32,0.01,20,0.9697986577181208,0.10973888142891898,0.939567265981148,0.9365323530745873,0.9367073692634026,43.82
32,0.01,30,0.9346733668341709,0.1575593497339711,0.9299961796996516,0.9291121051651544,0.9290572332385951,29.61
32,0.01,40,0.9459459459459459,0.18286055026063067,0.9204891801280097,0.9198679016094746,0.919973544973545,22.76
32,0.001,10,0.9046822742474916,0.18162678881249833,0.928388064500634,0.9268496504025262,0.9269582787314462,82.14
32,0.001,20,0.9463087248322147,0.1360655371199114,0.9260549363057324,0.9226812638913918,0.9228003384094755,43.22
32,0.001,30,0.9246231155778895,0.19703487786474952,0.9251652664922186,0.9223612216895635,0.922437236935622,28.59
32,0.001,40,0.8986486486486487,0.2024681509245892,0.9200343738387217,0.9167400546614031,0.9168245142368325,22.3
32,0.0001,10,0.8929765886287625,0.21084919895639606,0.8955537041090882,0.8831957537092632,0.881662993260953,83.33
32,0.0001,20,0.8791946308724832,0.24383391501169477,0.8877967133292758,0.8775004505316273,0.876105329168033,43.64
32,0.0001,30,0.8542713567839196,0.31046428059663006,0.8786806543385491,0.8725924482916335,0.8716918440675347,28.63
32,0.0001,40,0.8445945945945946,0.3165314286141782,0.8782813722597775,0.8738384451867598,0.8734147021276986,22.41
