Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.7888377047743391,0.16032388663967612,1.752513474008815,0.2574898785425101,0.04291497975708502,0.16666666666666666,0.06825499034127495
2,1.8119094956741642,0.11578947368421053,1.2539789890953403,0.4137651821862348,0.4665836144360773,0.39040618894144213,0.3352409688673384
3,1.8002276134645534,0.0940032414910859,1.1949624454955807,0.4821717990275527,0.2635932893323311,0.358573013707194,0.26872348174326915
4,1.8017947269993044,0.1693679092382496,1.0921578018396272,0.42382495948136145,0.31080033521893985,0.4071279597595387,0.2989774834117885
5,1.83271729617683,0.1693679092382496,1.4179305164701934,0.4213938411669368,0.14055128626163108,0.30765199161425577,0.19223768921202092
