Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.8567756391247274,0.0931174089068826,0.36139395895757176,0.8769230769230769,0.8698781871822083,0.8539949483583179,0.8608074355732797
2,1.803156840077296,0.2574898785425101,0.4107673041884474,0.8469635627530364,0.8347066899915182,0.8455870124882691,0.8389595553384632
3,1.765148701505491,0.2034035656401945,0.3702290759692074,0.859805510534846,0.8475859124597805,0.8608468585436122,0.8511115717633316
4,1.825509131824178,0.11588330632090761,0.32097354471514444,0.8938411669367909,0.8980132661301785,0.8773962900884772,0.8864034060299599
5,1.8479349419981772,0.16045380875202594,0.29093575086052165,0.9027552674230146,0.9007233286741996,0.8883260573348544,0.8937997244735487
