Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.7872307571804957,0.16923076923076924,0.2669761462425549,0.9198380566801619,0.9148387015379497,0.917891079260407,0.9152213639644128
2,1.7580443518364477,0.2040485829959514,0.31121758842767266,0.908502024291498,0.901471186362996,0.9048158002337442,0.902654533835635
3,1.7880062991255106,0.2576985413290113,0.25216588941769713,0.919773095623987,0.9215514967869908,0.9119273991305059,0.9160847989819186
4,1.8183175711809527,0.2034035656401945,0.21044249074015467,0.9286871961102107,0.9263028797422358,0.9279733392212881,0.9267938381225046
5,1.7662674018590918,0.2034035656401945,0.23661352664176027,0.919773095623987,0.9221113228926062,0.9083046100333027,0.9138081950422988
