Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.4054288702394495,0.25125628140703515,0.2330228113499119,0.8994974874371859,0.9108664772727273,0.8945744680851064,0.893640350877193
2,1.3895800592911303,0.24623115577889448,0.27412275752829546,0.8793969849246231,0.9035714285714287,0.8754166666666666,0.8710526315789473
3,1.389294057036165,0.24623115577889448,0.29862834127554344,0.864321608040201,0.8667792792792793,0.8602253401360543,0.8586616297895304
4,1.3988968457408886,0.24623115577889448,0.22574125295832528,0.8994974874371859,0.9151442307692308,0.8960459183673469,0.893640350877193
5,1.3927072412404582,0.2613065326633166,0.34485335153850477,0.7587939698492462,0.6262886597938144,0.75,0.6678082191780822
