Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.806704825621385,0.0931174089068826,1.0635724337960062,0.545748987854251,0.4047459380708036,0.4790742974705238,0.3547026715422495
2,1.801617135499653,0.0931174089068826,1.7546643011000476,0.2574898785425101,0.04291497975708502,0.16666666666666666,0.06825499034127495
3,1.8048929213704707,0.11588330632090761,1.085852060364363,0.46353322528363045,0.2846773912873704,0.3363539679032425,0.22687100966061613
4,1.7952872449034036,0.11588330632090761,1.3969035965890126,0.42706645056726095,0.14366808480978385,0.3113207547169811,0.19648045728255534
5,1.8092349589933645,0.16045380875202594,1.0480040007510874,0.520259319286872,0.4363074187942535,0.42995256726330444,0.354257361609066
