Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.7976402363745996,0.0915032679738562,1.6050533850987752,0.3235294117647059,0.19787665386256936,0.2619047619047619,0.18950268232564882
2,1.8239446426528731,0.16013071895424835,1.7456242181117239,0.2581699346405229,0.04302832244008715,0.16666666666666666,0.0683982683982684
3,1.7910508805630254,0.16993464052287582,1.1814197146035488,0.5130718954248366,0.3251221242716496,0.3955050374580212,0.33160109716598685
4,1.8315136713140152,0.16993464052287582,1.740556889889287,0.2581699346405229,0.04302832244008715,0.16666666666666666,0.0683982683982684
5,1.8118717865227094,0.11437908496732026,1.3207295907089134,0.4803921568627451,0.3988310569705919,0.3677699053362589,0.307077397594639
