Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3881419216572997,0.2145748987854251,0.05195006096469317,0.9772267206477733,0.9767362383919843,0.9766420162454228,0.9766795067765789
2,1.391893510696195,0.2395815758393791,0.045685650307229354,0.979416230808166,0.9791152985923174,0.9788318279616114,0.9789184275230021
3,1.3859904458636636,0.2534165682470052,0.05406361420745318,0.9831280580394803,0.983171336986868,0.9825519216996897,0.9827052170862658
4,1.3960399046824354,0.24902986333727012,0.04940370882397352,0.9826218997806647,0.9828606865111289,0.9820013358937965,0.9821867734906072
5,1.3895472409211505,0.24919858275687531,0.050350291634745095,0.9849839716551375,0.9847276129928784,0.9845722549926729,0.9846266975612428
