batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
8,0.1,10,0.8862876254180602,0.2456467384295733,0.8687201421912207,0.8626376224348432,0.8615511566557756,265.45
8,0.1,20,0.8389261744966443,0.28380635150726974,0.8868855470378045,0.8638986478534467,0.8594550220475009,130.33
8,0.1,30,0.8241206030150754,0.3395586173886402,0.8373569968678665,0.8334687371755768,0.829752915305469,90.44
8,0.1,40,0.8783783783783784,0.22792671915533524,0.877511191675676,0.8754555116914668,0.8752503956706728,74.0
8,0.01,10,0.9247491638795987,0.15849215555099394,0.9331702414436305,0.9324549573446821,0.9325902002120803,219.63
8,0.01,20,0.9429530201342282,0.15491286569046234,0.9179708362260182,0.917672853967682,0.917757214848467,119.87
8,0.01,30,0.8894472361809045,0.23040936639468534,0.9198519527380784,0.9117356550983239,0.9115233018869148,83.1
8,0.01,40,0.9391891891891891,0.20154516090907557,0.9164215867613693,0.9095581536592773,0.9093141239136106,65.57
8,0.001,10,0.9214046822742475,0.17771018571486358,0.943925429161753,0.9410657692258921,0.9412839848140679,211.29
8,0.001,20,0.9228187919463087,0.2121444652747713,0.9234983612493273,0.9111401453715384,0.9106007402464857,113.88
8,0.001,30,0.8793969849246231,0.2412907774694704,0.9116522594939236,0.9002334601805551,0.8993947875207728,81.55
8,0.001,40,0.8851351351351351,0.260139504085748,0.9165609807651659,0.8935772851503189,0.8911527050059971,64.3
8,0.0001,10,0.9046822742474916,0.19790170221624498,0.9086446561439556,0.8887404357682888,0.8864590750824477,213.72
8,0.0001,20,0.9161073825503355,0.19554796093846702,0.9105258428120266,0.8908361867003064,0.8886578909020255,116.09
8,0.0001,30,0.8592964824120602,0.28418233765092626,0.9003481458300735,0.8802153033049311,0.8771902068583632,81.08
8,0.0001,40,0.8648648648648649,0.2989498994539718,0.9039340088625092,0.8811494078348011,0.8781041763175468,64.95
16,0.1,10,0.862876254180602,0.2729197940954541,0.8842756539914418,0.8784861808409463,0.8778229175829595,121.45
16,0.1,20,0.9194630872483222,0.19697526637188373,0.8718939393939393,0.8708175647263772,0.8708052174960839,67.59
16,0.1,30,0.864321608040201,0.2536613626557814,0.8592383079869768,0.8448391768846621,0.8426654684435713,47.17
16,0.1,40,0.8648648648648649,0.27199338937187445,0.8461260746402348,0.8463494825854376,0.8457256586048312,39.28
16,0.01,10,0.9180602006688964,0.24238991056868403,0.9376949912539356,0.9330618928669071,0.9332136452546422,115.56
16,0.01,20,0.959731543624161,0.10342784396571676,0.9193733643606417,0.9173574818285577,0.9174989335297732,63.48
16,0.01,30,0.9246231155778895,0.21988806027589114,0.915489352989353,0.9142979350532753,0.914382500392663,45.25
16,0.01,40,0.9121621621621622,0.21050206769094174,0.9200946112710818,0.9123301564312801,0.9121145660159236,37.41
16,0.001,10,0.9264214046822743,0.19320718927498629,0.9335454792604064,0.9300498973969864,0.9302077501216436,124.51
16,0.001,20,0.9328859060402684,0.17456613704030896,0.9121699861046781,0.8972262269477984,0.8959104081884326,98.41
16,0.001,30,0.8492462311557789,0.2675254735042664,0.8973252691431303,0.8782587705181848,0.8753918797533962,57.21
16,0.001,40,0.8648648648648649,0.2517222653810136,0.9000535103476279,0.8712648041299726,0.8664969693195499,47.76
16,0.0001,10,0.8979933110367893,0.21991971068794414,0.904024426371235,0.8856950636496144,0.8833889142566564,153.1
16,0.0001,20,0.9161073825503355,0.20797292915666662,0.9065705003375396,0.8881480146572956,0.8860517105033661,86.77
16,0.0001,30,0.864321608040201,0.2869077597431202,0.8784611769809139,0.8703987600155846,0.869056907975566,61.14
16,0.0001,40,0.8581081081081081,0.3238011453602765,0.8770639491950968,0.862140359893169,0.8592644034993201,49.3
32,0.1,10,0.8996655518394648,0.20139573866218782,0.9094883949519472,0.884797231522008,0.8815794217063915,94.03
32,0.1,20,0.9194630872483222,0.17708906046491454,0.9124786488026219,0.8979508319817385,0.8967545927978869,53.86
32,0.1,30,0.8844221105527639,0.26587090712001465,0.8902019556392164,0.8850810720684931,0.8845642757014224,38.46
32,0.1,40,0.8918918918918919,0.2336753023020621,0.8508530203771443,0.849301548739751,0.8489277469599644,31.97
32,0.01,10,0.9264214046822743,0.14429113749775999,0.9292333563248547,0.9267914856896534,0.926840591783018,92.05
32,0.01,20,0.9328859060402684,0.1454753057406934,0.9240436696005416,0.9198616867904127,0.9199325269854237,52.11
32,0.01,30,0.8994974874371859,0.247364598676216,0.9098453942184792,0.9046465536225501,0.9044174234261967,37.37
32,0.01,40,0.9054054054054054,0.1852117149612388,0.915144596651446,0.9081536592772548,0.9079161798167394,30.97
32,0.001,10,0.9013377926421404,0.21222196621812545,0.9260397743561865,0.9184857323346168,0.9184136800234743,90.17
32,0.001,20,0.9362416107382551,0.14740656332219107,0.9092761189278666,0.9002823331531207,0.8997069060267449,50.08
32,0.001,30,0.8592964824120602,0.2694172757167613,0.9078453353262514,0.8874738015587782,0.8849349337667015,37.32
32,0.001,40,0.831081081081081,0.38686813051636154,0.8925872078569936,0.862890980868509,0.8567821951161634,30.32
32,0.0001,10,0.8846153846153846,0.2322388178852689,0.9025214141844774,0.8810884073956367,0.8780492606048822,91.25
32,0.0001,20,0.9093959731543624,0.26313399018457273,0.9002329663062578,0.8833911515588395,0.8812744740555141,48.92
32,0.0001,30,0.8693467336683417,0.3255547355467351,0.8638035704272486,0.8627759050022868,0.8625654540426,36.92
32,0.0001,40,0.777027027027027,0.45285261321712184,0.8160969256496012,0.8152682068412406,0.8154629196713743,30.16
