Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.7900183514850896,0.17073170731707318,0.4898413233640717,0.8268292682926829,0.8289290481803571,0.8126779758590993,0.8162018251264285
2,1.7777820209177528,0.17073170731707318,0.4802191392677586,0.8268292682926829,0.866404962330214,0.8188435567173279,0.8157232498622659
3,1.8618681483280397,0.15892420537897312,0.8494439827492302,0.7139364303178484,0.7878681432327995,0.7028378119801064,0.701353608794272
4,1.8240218716320606,0.16136919315403422,0.5384535570890805,0.78239608801956,0.8087258923591056,0.7741281664047097,0.7794706525970705
5,1.7927383755704884,0.2567237163814181,0.4871736448668035,0.843520782396088,0.8723913632766743,0.8332298413147248,0.8346930074733617
