Fold,Pre-train Loss,Pre-train Accuracy,Post-train Loss,Post-train Accuracy,Precision,Recall,F1-Score
1,1.3881419160266315,0.2145748987854251,0.023647374460383553,0.9897098515519568,0.9896098376313276,0.9893840575388542,0.9894603890544504
2,1.391893515040586,0.2395815758393791,0.032916204773219174,0.9917327484393453,0.9918293370014071,0.9914060634996419,0.9915282012864258
3,1.3859904432892096,0.2534165682470052,0.010257699331260046,0.9967943310275013,0.9967206093836838,0.9967140128909047,0.9967172518041238
4,1.3960399064523727,0.24902986333727012,0.026199654183707188,0.9903829930825038,0.9902532144746365,0.990094228223142,0.9901525827099654
5,1.3895472386685033,0.24919858275687531,0.03023074188539428,0.9886957988864519,0.9887589897944247,0.9882884375384927,0.9884155861654274
